"Annual commercial landings and effort for the Euphausiid Trawl, Scallop Trawl or Opalescent Squid Seine fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
Selected Pacific Fishery Management Areas: 17,,,,,,,,,
"Date compiled: July 7, 2026",,,,,,,,,
"Information source: Fisheries and Oceans Canada, Pacific Region Science Branch, Stock Assessment and Research Division, Shellfish Data Unit",,,,,,,,,
,commercial fishery harvest log data holdings,,,,,,,,
Information presented in this worksheet has been summarized to respect individuals' rights to privacy,,,,,,,,,
,as described in the Privacy Act and Access to Information Act,,,,,,,,
,* information does not meet the requirement for release - fewer than 3 vessels reporting,,,,,,,,
,** information withheld from public release so as to allow public release of information at the PFM Area level,,,,,,,,
PFM areas and subareas for which zero landings and effort have been reported have been omitted from the table.,,,,,,,,,
Effort is defined as the reported tow duration in minutes,,,,,,,,,
"This table Includes only regular commercial harvest records. It excludes any special harvesting, for example under scientific licence, test fishery, etc.",,,,,,,,,
All information presented in this table arises from fishery dependent logbook programs.  Fishery dependent catch reporting relies on individual harvesters or groups of harvesters to monitor and report their own catch.,,,,,,,,,
Dependability of data arising from fishery dependent catch reporting programs is higher for those fisheries which also participate in independent verification such as 3rd party monitoring programs.  ,,,,,,,,,
These Trawl fisheries are not managed with comprehensive independent verification programs and as such the dependability of the data is unknown.,,,,,,,,,
,,,,,,,,,
Please consult the relevant Integrated Fisheries Management Plan for more information about this data. (Available at https://science-libraries.canada.ca/eng/fisheries-oceans/),,,,,,,,,
,,,,,,,,,
Fishery,Species¹,Year,PFMA,PFM Subarea†,Vessel Count,Reported Tow Duration (minutes),Total Landing (lbs),,
Euphausiid Trawl,RAB,1983,13,8,1,300,*,,RAB = Euphausiids (Order euphausiacea)
Euphausiid Trawl,RAB,1983,13,Total,1,300,*,,"67B = Scallops (Family pectinidae), including Genus chlamys and Weathervane Scallop (Patinopecten caurinus)"
Euphausiid Trawl,RAB,1983,15,5,1,360,*,,92D = Opalescent Inshore Squid (Doryteuthis opalescens)
Euphausiid Trawl,RAB,1983,15,6,1,420,*,,
Euphausiid Trawl,RAB,1983,15,Total,1,780,*,,"†NOTE: Values are duplicated in this table, to allow the release of data for areas where few vessels operate."
Euphausiid Trawl,RAB,1983,16,12,2,15420,*,,"Landings are presented separately for each Subarea and again as a sum ""Total"" for each PFMA."
Euphausiid Trawl,RAB,1983,16,13,1,1260,*,,
Euphausiid Trawl,RAB,1983,16,14,1,1680,*,,This data is provided under the Open Government Licence - Canada (https://open.canada.ca/en/open-government-licence-canada)
Euphausiid Trawl,RAB,1983,16,15,1,540,*,,The Shellfish Data Unit may be contacted by email at: PACSDU@dfo-mpo.gc.ca
Euphausiid Trawl,RAB,1983,16,Total,2,18900,*,,
Euphausiid Trawl,RAB,1984,16,12,2,30780,*,,
Euphausiid Trawl,RAB,1984,16,13,1,1680,*,,
Euphausiid Trawl,RAB,1984,16,14,1,1200,*,,
Euphausiid Trawl,RAB,1984,16,Total,2,33660,*,,
Euphausiid Trawl,RAB,1984,28,2,1,120,*,,
Euphausiid Trawl,RAB,1984,28,Total,1,120,*,,
Euphausiid Trawl,RAB,1985,15,5,1,660,*,,
Euphausiid Trawl,RAB,1985,15,Total,1,660,*,,
Euphausiid Trawl,RAB,1985,16,6,1,480,*,,
Euphausiid Trawl,RAB,1985,16,11,2,8460,*,,
Euphausiid Trawl,RAB,1985,16,12,2,9900,*,,
Euphausiid Trawl,RAB,1985,16,14,1,1920,*,,
Euphausiid Trawl,RAB,1985,16,Total,2,20760,*,,
Euphausiid Trawl,RAB,1985,28,1,1,1560,*,,
Euphausiid Trawl,RAB,1985,28,Total,1,1560,*,,
Euphausiid Trawl,RAB,1985,29,3,1,4020,*,,
Euphausiid Trawl,RAB,1985,29,Total,1,4020,*,,
