"Annual commercial landings and effort for the Shrimp Trawl fishery in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,,,,,
2025 data are preliminary,,,,,,,,,,,,,
Selected Pacific Fishery Management Areas: 17,,,,,,,,,,,,,
"Date compiled: July 7, 2026",,,,,,,,,,,,,
"Information source: Fisheries and Oceans Canada, Pacific Region Science Branch, Stock Assessment and Research Division, Shellfish Data Unit",,,,,,,,,,,,,
,commercial fishery harvest log data holdings,,,,,,,,,,,,
Information presented in this worksheet has been summarized to respect individuals' rights to privacy,,,,,,,,,,,,,
,as described in the Privacy Act and Access to Information Act,,,,,,,,,,,,
,* information does not meet the requirement for release - fewer than 3 vessels reporting,,,,,,,,,,,,
,** information withheld from public release so as to allow public release of information at the PFM Area level,,,,,,,,,,,,
PFM areas and subareas for which zero landings and effort have been reported have been omitted from the table.,,,,,,,,,,,,,
Effort is defined as the reported tow duration in minutes,,,,,,,,,,,,,
"This table Includes only regular commercial harvest records. It excludes any special harvesting, for example under scientific licence, test fishery, etc.",,,,,,,,,,,,,
All information presented in this table arises from fishery dependent logbook programs.  Fishery dependent catch reporting relies on individual harvesters or groups of harvesters to monitor and report their own catch.,,,,,,,,,,,,,
Dependability of data arising from fishery dependent catch reporting programs is higher for those fisheries which also participate in independent verification such as 3rd party monitoring programs.  ,,,,,,,,,,,,,
Shrimp Trawl fisheries are not managed with comprehensive independent verification programs and as such the dependability of the data is unknown.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Please consult the relevant Integrated Fisheries Management Plan for more information about this data. (Available at https://science-libraries.canada.ca/eng/fisheries-oceans/),,,,,,,,,,,,,
,,,,,,,,,,,,,
Fishery,Species¹,Year,PFMA,PFM Subarea†,Vessel Count,Reported Tow Duration (minutes),Pink Shrimp  (lbs)¹,Sidestripe Shrimp  (lbs)¹,Humpback Shrimp  (lbs)¹,Coonstripe Shrimp  (lbs)¹,Prawn (lbs)¹,,
Shrimp Trawl,---,1987,1,6,1,645,*,*,*,*,*,,¹Harvesters are required to report catch for the following species:
Shrimp Trawl,---,1987,1,Total,1,645,*,*,*,*,*,,"Pink Shrimp includes (Pandalus eous), Flexed Pink Shrimp (P. goniurus) and Smooth Pink Shrimp (P. Jordania)"
Shrimp Trawl,---,1987,2,41,1,528,*,*,*,*,*,,Sidestripe shrimp (Pandalopsis dispar)
Shrimp Trawl,---,1987,2,Total,1,528,*,*,*,*,*,,Humpback shrimp (P. hypsinotus)
Shrimp Trawl,---,1987,4,0,4,26705,9903,5714,10,0,48,,Coonstripe Shrimp (P. danae)
Shrimp Trawl,---,1987,4,5,1,360,*,*,*,*,*,,Prawn (Pandalus platyceros) aka Pacific Spot Prawn
Shrimp Trawl,---,1987,4,9,7,14610,4344,4911,0,0,53,,
Shrimp Trawl,---,1987,4,12,3,1380,**,**,**,**,**,,"†NOTE: Values are duplicated in this table, to allow the release of data for areas where few vessels operate."
Shrimp Trawl,---,1987,4,Total,9,43055,14744,11578,10,0,111,,"Landings are presented separately for each Subarea and again as a sum ""Total"" for each PFMA."
Shrimp Trawl,---,1987,5,0,1,360,*,*,*,*,*,,
Shrimp Trawl,---,1987,5,23,1,245,*,*,*,*,*,,This data is provided under the Open Government Licence - Canada (https://open.canada.ca/en/open-government-licence-canada)
Shrimp Trawl,---,1987,5,24,1,330,*,*,*,*,*,,The Shellfish Data Unit may be contacted by email at: PACSDU@dfo-mpo.gc.ca
Shrimp Trawl,---,1987,5,Total,2,935,*,*,*,*,*,,
Shrimp Trawl,---,1987,6,16,1,370,*,*,*,*,*,,
Shrimp Trawl,---,1987,6,21,1,175,*,*,*,*,*,,
Shrimp Trawl,---,1987,6,Total,1,545,*,*,*,*,*,,
Shrimp Trawl,---,1987,8,4,1,200,*,*,*,*,*,,
