"Annual commercial landings and effort for the Prawn and Shrimp by Trap fishery in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,,,
2025 data are preliminary,,,,,,,,,,,
Selected Pacific Fishery Management Areas: 17,,,,,,,,,,,
"Date compiled: July 7, 2026",,,,,,,,,,,
"Information source: Fisheries and Oceans Canada, Pacific Region Science Branch, Stock Assessment and Research Division, Shellfish Data Unit",,,,,,,,,,,
,commercial fishery harvest log data holdings,,,,,,,,,,
Information presented in this worksheet has been summarized to respect individuals' rights to privacy,,,,,,,,,,,
,as described in the Privacy Act and Access to Information Act,,,,,,,,,,
,* information does not meet the requirement for release - fewer than 3 vessels reporting,,,,,,,,,,
,** information withheld from public release so as to allow public release of information at the PFM Area level,,,,,,,,,,
PFM areas and subareas for which zero landings and effort have been reported have been omitted from the table.,,,,,,,,,,,
Effort is defined as the reported number of traps hauled,,,,,,,,,,,
"This table Includes only regular commercial harvest records. It excludes any special harvesting, for example under scientific licence, test fishery, etc.",,,,,,,,,,,
All information presented in this table arises from fishery dependent logbook programs.  Fishery dependent catch reporting relies on individual harvesters or groups of harvesters to monitor and report their own catch.,,,,,,,,,,,
Dependability of data arising from fishery dependent catch reporting programs is higher for those fisheries which also participate in independent verification such as 3rd party monitoring programs.  ,,,,,,,,,,,
Prawn trap fisheries are not managed with comprehensive independent verification programs and as such the dependability of the data is unknown.,,,,,,,,,,,
,,,,,,,,,,,
Please consult the relevant Integrated Fisheries Management Plan for more information about this data. (Available at https://science-libraries.canada.ca/eng/fisheries-oceans/),,,,,,,,,,,
,,,,,,,,,,,
Fishery,Species¹,Year,PFMA,PFM Subarea†,Vessel Count,Number of Traps Hauled,Prawn Landed (lbs)¹,Humpback Landed (lbs)¹,Coonstripe Landed (lbs)¹,,
Prawn,---,1980,6,1,1,7700,*,*,*,,¹Harvesters are required to report catch for the following species:
Prawn,---,1980,6,4,1,7055,*,*,*,,Prawn (Pandalus platyceros) aka Pacific Spot Prawn
Prawn,---,1980,6,18,1,157,*,*,*,,Humpback shrimp (P. hypsinotus)
Prawn,---,1980,6,25,1,44,*,*,*,,Coonstripe Shrimp (P. danae)
Prawn,---,1980,6,Total,2,14956,*,*,*,,
Prawn,---,1980,7,3,1,280,*,*,*,,"†NOTE: Values are duplicated in this table, to allow the release of data for areas where few vessels operate."
Prawn,---,1980,7,4,1,110,*,*,*,,"Landings are presented separately for each Subarea and again as a sum ""Total"" for each PFMA."
Prawn,---,1980,7,13,1,99,*,*,*,,
Prawn,---,1980,7,15,1,272,*,*,*,,This data is provided under the Open Government Licence - Canada (https://open.canada.ca/en/open-government-licence-canada)
Prawn,---,1980,7,30,1,40,*,*,*,,The Shellfish Data Unit may be contacted by email at: PACSDU@dfo-mpo.gc.ca
Prawn,---,1980,7,Total,1,801,*,*,*,,
Prawn,---,1980,9,2,1,811,*,*,*,,
Prawn,---,1980,9,7,1,102,*,*,*,,
Prawn,---,1980,9,11,1,137,*,*,*,,
Prawn,---,1980,9,Total,1,1050,*,*,*,,
Prawn,---,1980,12,0,1,1074,*,*,*,,
Prawn,---,1980,12,13,1,130,*,*,*,,
Prawn,---,1980,12,27,1,2067,*,*,*,,
Prawn,---,1980,12,29,1,30,*,*,*,,
Prawn,---,1980,12,30,1,66,*,*,*,,
Prawn,---,1980,12,31,1,178,*,*,*,,
Prawn,---,1980,12,39,1,100,*,*,*,,
Prawn,---,1980,12,45,1,699,*,*,*,,
Prawn,---,1980,12,47,1,38,*,*,*,,
Prawn,---,1980,12,Total,2,4382,*,*,*,,
Prawn,---,1980,13,42,1,64,*,*,*,,
Prawn,---,1980,13,43,1,29,*,*,*,,
Prawn,---,1980,13,Total,1,93,*,*,*,,
Prawn,---,1980,14,3,1,49,*,*,*,,
Prawn,---,1980,14,Total,1,49,*,*,*,,
